time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,Class
0.063,0.472,0.172,0.130,0.088,0.512,0.724,0.000,0.189,0.000
0.098,0.658,0.868,0.103,0.228,0.236,0.255,0.333,0.131,0.000
0.056,0.733,0.974,0.124,0.105,0.191,0.339,0.836,0.425,0.000
0.079,0.632,0.256,0.054,0.281,0.300,0.712,0.361,0.527,0.000
0.004,0.406,0.929,0.276,0.596,0.492,0.551,0.175,0.129,0.000
0.098,0.547,0.756,0.092,0.053,0.182,0.082,0.470,0.381,0.000
0.080,0.723,0.856,0.059,0.070,0.110,0.170,0.426,0.765,0.000
0.088,0.245,0.756,0.114,0.228,0.383,0.356,0.333,0.106,0.000
0.078,0.845,0.417,0.135,0.018,0.184,0.186,0.333,0.303,0.000
0.073,0.148,0.768,0.189,0.772,0.503,0.571,0.279,0.022,0.000
0.211,0.538,0.669,0.054,0.386,0.156,0.250,0.328,0.814,0.000
0.079,0.676,0.619,0.211,0.474,0.446,0.522,0.077,0.080,0.000
0.089,0.279,0.858,0.114,0.561,0.426,0.560,0.295,0.050,0.000
0.123,0.557,0.972,0.054,0.088,0.335,0.106,0.727,0.552,0.000
0.066,0.127,0.351,0.124,0.070,0.544,0.847,0.033,0.075,0.000
0.078,0.782,0.680,0.076,0.263,0.564,0.075,0.645,0.451,0.000
0.068,0.402,0.265,0.065,0.158,0.383,0.753,0.060,0.104,0.000
0.026,0.547,0.936,0.135,0.474,0.491,0.559,0.049,0.055,0.000
0.130,0.775,0.846,0.157,0.193,0.467,0.528,0.301,0.075,0.000
0.523,0.262,0.775,0.162,0.509,0.466,0.552,0.082,0.141,0.000
0.042,0.475,0.485,0.108,0.211,0.445,0.321,0.344,0.018,0.000
0.027,0.366,0.310,0.162,0.070,0.432,0.566,0.044,0.114,0.000
0.056,0.436,0.552,0.184,0.158,0.197,0.207,0.322,0.277,0.000
0.063,0.778,0.913,0.097,0.158,0.509,0.333,0.399,0.091,0.000
0.089,0.604,0.687,0.032,0.070,0.126,0.304,0.230,0.212,0.000
0.055,0.632,0.839,0.173,0.246,0.534,0.438,0.350,0.043,0.000
0.076,0.442,0.466,0.000,0.175,0.114,0.074,0.142,0.264,0.000
0.114,0.508,0.875,0.157,0.175,0.334,0.279,0.388,0.055,0.000
0.002,0.604,0.276,0.130,0.211,0.300,0.732,0.000,0.305,0.000
0.086,0.387,0.923,0.054,0.053,0.277,0.233,0.202,0.602,0.000
0.060,0.362,0.696,0.162,0.053,0.057,0.005,0.311,0.791,0.000
0.136,0.643,0.482,0.259,0.000,0.322,0.024,0.530,0.778,0.000
0.280,0.375,0.459,0.076,0.211,0.008,0.009,0.443,0.551,0.000
0.053,0.561,0.363,0.043,0.298,0.707,0.647,0.126,0.947,0.000
0.053,0.521,0.384,0.059,0.158,0.186,0.130,0.432,0.819,0.000
0.056,0.425,0.529,0.022,0.123,0.102,0.175,0.317,0.177,0.000
0.071,0.358,0.559,0.070,0.070,0.127,0.015,0.344,0.322,0.000
0.054,0.580,0.765,0.043,0.175,0.084,0.009,0.383,0.537,0.000
0.003,0.439,0.939,0.184,0.351,0.508,0.520,0.131,0.081,0.000
0.528,0.630,0.827,0.086,0.105,0.160,0.064,0.393,0.877,0.000
0.067,0.444,0.203,0.005,0.281,0.036,0.645,0.164,0.287,0.000
0.168,0.475,0.824,0.141,0.123,0.482,0.455,0.404,0.040,0.000
0.061,0.434,0.478,0.238,0.596,0.323,0.214,0.148,0.148,0.000
0.169,0.406,0.845,0.119,0.368,0.499,0.546,0.350,0.063,0.000
0.011,0.741,0.192,0.114,0.193,0.190,0.659,0.071,0.337,0.000
0.089,0.556,0.420,0.151,0.070,0.529,0.679,0.011,0.206,0.000
0.062,0.453,0.961,0.405,0.684,0.475,0.276,0.716,0.010,0.000
0.075,0.383,0.590,0.146,0.298,0.460,0.541,0.038,0.070,0.000
0.003,0.607,0.885,0.124,0.158,0.450,0.559,0.202,0.080,0.000
0.082,0.502,0.658,0.124,0.018,0.250,0.347,0.355,0.139,0.000
0.063,0.490,0.243,0.027,0.228,0.151,0.307,0.093,0.731,0.000
0.057,0.637,0.857,0.103,0.193,0.268,0.370,0.355,0.156,0.000
0.057,0.644,0.324,0.081,0.158,0.009,0.042,0.344,0.305,0.000
0.076,0.355,0.704,0.216,0.386,0.512,0.583,0.044,0.109,0.000
0.086,0.655,0.163,0.081,0.175,0.296,0.527,0.115,0.431,0.000
0.071,0.579,0.588,0.130,0.193,0.285,0.258,0.153,0.310,0.000
0.059,0.583,0.808,0.027,0.088,0.021,0.305,0.492,0.187,0.000
0.268,0.346,0.691,0.016,0.123,0.007,0.384,0.683,0.295,0.000
0.071,0.736,0.307,0.157,0.018,0.424,0.888,0.071,0.100,0.000
0.057,0.694,0.819,0.151,0.281,0.407,0.582,0.142,0.154,0.000
0.278,0.507,0.433,0.130,0.140,0.449,0.821,0.049,0.239,0.000
0.061,0.518,0.341,0.189,0.035,0.433,0.594,0.033,0.027,0.000
0.070,0.405,0.834,0.168,0.456,0.501,0.522,0.213,0.182,0.000
0.087,0.355,0.309,0.103,0.649,0.119,0.191,0.284,0.564,0.000
0.006,0.508,0.655,0.114,0.404,0.386,0.554,0.295,0.123,0.000
0.066,0.417,0.678,0.232,0.228,0.342,0.517,0.175,0.040,0.000
0.057,0.689,0.620,0.227,0.193,0.123,0.343,0.645,0.240,0.000
0.047,0.575,0.698,0.146,0.158,0.415,0.415,0.377,0.005,0.000
0.017,0.725,0.918,0.135,0.474,0.482,0.533,0.038,0.116,0.000
0.192,0.585,0.687,0.092,0.123,0.370,0.370,0.322,0.204,0.000
0.018,0.764,0.576,0.049,0.281,0.520,0.636,0.448,0.494,0.000
0.390,0.685,0.938,0.135,0.053,0.098,0.078,0.437,0.678,0.000
0.204,0.462,0.535,0.092,0.123,0.175,0.152,0.251,0.695,0.000
0.026,0.817,0.590,0.222,0.263,0.477,0.517,0.038,0.101,0.000
0.121,0.462,0.785,0.103,0.158,0.125,0.093,0.568,0.532,0.000
0.077,0.455,0.927,0.103,0.263,0.473,0.425,0.339,0.116,0.000
0.093,0.613,0.605,0.049,0.404,0.188,0.161,0.049,0.486,0.000
0.195,0.339,0.495,0.086,0.070,0.156,0.105,0.175,0.373,0.000
0.056,0.556,0.833,0.108,0.018,0.144,0.200,0.350,0.363,0.000
0.025,0.321,0.265,0.151,0.000,0.446,0.700,0.055,0.030,0.000
0.171,0.561,0.761,0.103,0.158,0.252,0.145,0.956,0.844,0.000
0.004,0.701,0.821,0.146,0.281,0.363,0.439,0.426,0.003,0.000
0.101,0.538,0.623,0.086,0.140,0.207,0.379,0.459,0.161,0.000
0.062,0.500,0.537,0.151,0.281,0.471,0.524,0.022,0.083,0.000
0.100,0.527,0.323,0.141,0.140,0.023,0.022,0.038,0.960,0.000
0.147,0.613,0.686,0.151,0.088,0.305,0.268,0.344,0.499,0.000
0.090,0.838,0.616,0.038,0.211,0.769,0.543,0.262,0.793,0.000
0.119,0.430,0.471,0.216,0.140,0.239,0.159,0.022,0.395,0.000
0.059,0.346,0.414,0.081,0.351,0.205,0.165,0.148,0.289,0.000
0.136,0.439,0.365,0.227,0.000,0.478,0.526,0.175,0.090,0.000
0.054,0.223,0.835,0.243,0.211,0.531,0.341,0.361,0.413,0.000
0.155,0.670,0.792,0.114,0.316,0.450,0.449,0.525,0.134,0.000
0.025,0.458,0.578,0.038,0.035,0.137,0.047,0.098,0.512,0.000
0.244,0.543,0.205,0.189,0.105,0.480,0.833,0.033,0.121,0.000
0.081,0.325,0.260,0.124,0.123,0.385,0.861,0.011,0.176,0.000
0.210,0.469,0.665,0.119,0.088,0.193,0.184,0.421,0.259,0.000
0.100,0.546,0.813,0.103,0.018,0.028,0.460,0.492,0.317,0.000
0.045,0.447,0.691,0.184,0.421,0.343,0.468,0.361,0.002,0.000
0.213,0.595,0.612,0.070,0.175,0.123,0.290,0.213,0.514,0.000
0.015,0.591,0.822,0.151,0.246,0.518,0.578,0.219,0.018,0.000
0.063,0.519,0.483,0.081,0.158,0.170,0.713,0.060,0.491,0.000
0.126,0.408,0.572,0.173,0.035,0.124,0.191,0.432,0.471,0.000
0.074,0.546,0.567,0.022,0.123,0.039,0.357,0.333,0.458,0.000
0.065,0.505,0.516,0.249,0.333,0.197,0.223,0.262,0.063,0.000
0.006,0.377,0.932,0.162,0.421,0.151,0.223,0.907,0.297,0.000
0.036,0.594,0.716,0.259,0.053,0.061,0.337,0.525,0.282,0.000
0.058,0.450,0.979,0.135,0.298,0.421,0.524,0.404,0.058,0.000
0.350,0.642,0.756,0.151,0.175,0.057,0.511,0.470,0.167,0.000
0.065,0.652,0.434,0.135,0.018,0.410,0.638,0.011,0.272,0.000
0.014,0.636,0.712,0.103,0.175,0.302,0.046,0.710,0.289,0.000
0.046,0.496,0.203,0.097,0.018,0.065,0.684,0.093,0.347,0.000
0.069,0.428,0.834,0.162,0.018,0.334,0.265,0.514,0.678,0.000
0.056,0.321,0.460,0.141,0.140,0.319,0.631,0.005,0.294,0.000
0.072,0.341,0.192,0.119,0.228,0.499,0.579,0.016,0.104,0.000
0.080,0.508,0.973,0.162,0.421,0.302,0.236,0.339,0.219,0.000
0.141,0.571,0.925,0.195,0.544,0.488,0.529,0.514,0.063,0.000
0.354,0.646,0.880,0.178,0.123,0.222,0.357,0.393,0.070,0.000
0.085,0.529,0.751,0.151,0.228,0.272,0.426,0.410,0.154,0.000
0.065,0.585,0.975,0.119,0.053,0.172,0.394,0.333,0.131,0.000
0.164,0.774,0.950,0.135,0.281,0.357,0.315,0.339,0.088,0.000
0.218,0.364,0.860,0.119,0.070,0.173,0.158,0.847,0.579,0.000
0.201,0.451,0.462,0.076,0.070,0.414,0.329,0.295,0.070,0.000
0.139,0.814,0.765,0.130,0.105,0.165,0.255,0.617,0.136,0.000
0.083,0.414,0.582,0.216,0.018,0.134,0.327,0.393,0.416,0.000
0.079,0.499,0.363,0.124,0.246,0.592,0.520,0.317,0.043,0.000
0.072,0.478,0.864,0.400,0.667,0.515,0.557,0.219,0.103,0.000
0.215,0.443,0.446,0.205,0.088,0.506,0.513,0.060,0.104,0.000
0.130,0.340,0.580,0.227,0.088,0.197,0.513,0.333,0.255,0.000
0.083,0.736,0.218,0.119,0.105,0.534,0.935,0.027,0.139,0.000
0.273,0.697,0.381,0.249,0.053,0.609,0.241,0.022,0.036,0.000
0.060,0.553,0.458,0.141,0.474,0.499,0.515,0.087,0.073,0.000
0.006,0.798,0.660,0.054,0.018,0.057,0.110,0.404,0.164,0.000
0.145,0.612,0.284,0.141,0.246,0.525,0.584,0.011,0.292,0.000
0.129,0.231,0.748,0.043,0.281,0.088,0.175,0.459,0.532,0.000
0.076,0.517,0.833,0.108,0.105,0.509,0.105,0.798,0.708,0.000
0.076,0.499,0.912,0.238,0.298,0.413,0.515,0.191,0.061,0.000
0.161,0.274,0.850,0.286,0.474,0.464,0.631,0.322,0.124,0.000
0.121,0.415,0.343,0.032,0.175,0.000,0.196,0.372,0.461,0.000
0.167,0.543,0.054,0.027,0.175,0.011,0.681,0.027,0.202,0.000
0.059,0.364,0.765,0.157,0.351,0.358,0.013,0.399,0.746,0.000
0.555,0.582,0.891,0.173,0.158,0.438,0.448,0.372,0.111,0.000
0.086,0.668,0.767,0.200,0.298,0.117,0.069,0.284,0.012,0.000
0.024,0.725,0.544,0.119,0.211,0.400,0.270,0.333,0.002,0.000
0.203,0.227,0.534,0.032,0.018,0.147,0.066,0.038,0.164,0.000
0.061,0.580,0.475,0.135,0.088,0.223,0.293,0.339,0.217,0.000
0.083,0.459,0.621,0.135,0.439,0.398,0.560,0.087,0.116,0.000
0.053,0.292,0.393,0.141,0.298,0.488,0.517,0.044,0.032,0.000
0.013,0.783,0.075,0.135,0.018,0.558,0.802,0.038,0.091,0.000
0.132,0.635,0.381,0.368,0.947,0.613,0.626,0.066,0.141,0.000
0.424,0.425,0.735,0.157,0.263,0.267,0.003,0.251,0.794,0.000
0.069,0.399,0.807,0.189,0.123,0.320,0.333,0.366,0.148,0.000
0.503,0.561,0.556,0.184,0.281,0.496,0.523,0.022,0.100,0.000
0.137,0.476,0.761,0.368,0.544,0.443,0.541,0.301,0.070,0.000
0.049,0.394,0.932,0.059,0.333,0.210,0.310,0.350,0.212,0.000
0.057,0.565,0.017,0.162,0.070,0.559,0.893,0.044,0.061,0.000
0.110,0.491,0.731,0.184,0.421,0.505,0.560,0.104,0.070,0.000
0.074,0.719,0.211,0.119,0.105,0.473,0.819,0.016,0.274,0.000
0.055,0.708,0.677,0.135,0.035,0.175,0.385,0.770,0.035,0.000
0.047,0.616,0.728,0.097,0.070,0.183,0.153,0.333,0.347,0.000
0.070,0.448,0.603,0.308,0.298,0.392,0.529,0.082,0.104,0.000
0.057,0.564,0.700,0.000,0.175,0.303,0.260,0.716,0.438,0.000
0.204,0.499,0.779,0.146,0.368,0.377,0.108,0.328,0.237,0.000
0.098,0.609,0.450,0.151,0.000,0.583,0.565,0.005,0.121,0.000
0.075,0.828,0.769,0.081,0.105,0.096,0.107,0.393,0.322,0.000
0.047,0.788,0.762,0.097,0.140,0.225,0.487,0.699,0.625,0.000
0.049,0.575,0.595,0.022,0.246,0.109,0.301,0.219,0.771,0.000
0.087,0.451,0.716,0.103,0.140,0.142,0.272,0.388,0.179,0.000
0.065,0.359,0.513,0.135,0.088,0.459,0.037,0.109,0.362,0.000
0.139,0.500,0.506,0.065,0.035,0.155,0.370,0.344,0.342,0.000
0.066,0.638,0.855,0.114,0.228,0.439,0.408,0.344,0.085,0.000
0.046,0.888,0.913,0.038,0.246,0.753,0.024,0.732,0.640,0.000
0.013,0.660,0.078,0.146,0.035,0.475,0.713,0.027,0.224,0.000
0.058,0.361,0.605,0.178,0.053,0.240,0.518,0.060,0.187,0.000
0.042,0.620,0.918,0.157,0.351,0.508,0.577,0.284,0.075,0.000
0.156,0.720,0.658,0.054,0.175,0.546,0.054,0.262,0.494,0.000
0.086,0.632,0.769,0.259,0.509,0.543,0.029,0.721,0.337,0.000
0.081,0.565,0.906,0.173,0.772,0.480,0.594,0.508,0.048,0.000
0.049,0.776,0.639,0.157,0.298,0.491,0.536,0.169,0.101,0.000
0.087,0.663,0.890,0.346,0.509,0.522,0.578,0.022,0.046,0.000
0.080,0.576,0.715,0.108,0.351,0.322,0.542,0.333,0.005,0.000
0.172,0.567,0.556,0.092,0.070,0.155,0.023,0.235,0.299,0.000
0.075,0.413,0.539,0.070,0.246,0.184,0.524,0.230,0.342,0.000
0.003,0.411,0.103,0.130,0.175,0.484,0.804,0.055,0.695,0.000
0.064,0.336,0.350,0.097,0.316,0.264,0.087,0.098,0.726,0.000
0.160,0.461,0.316,0.097,0.070,0.184,0.251,0.115,0.355,0.000
0.060,0.575,0.715,0.184,0.351,0.436,0.566,0.279,0.003,0.000
0.168,0.472,0.767,0.092,0.123,0.651,0.045,0.415,0.786,0.000
0.160,0.354,0.548,0.135,0.053,0.132,0.200,0.197,0.328,0.000
0.078,0.328,0.395,0.114,0.175,0.282,0.531,0.082,0.209,0.000
0.075,0.486,0.265,0.103,0.035,0.165,0.342,0.104,0.318,0.000
0.399,0.572,0.590,0.243,0.263,0.406,0.381,0.311,0.083,0.000
0.209,0.783,0.279,0.086,0.175,0.433,0.717,0.000,0.124,0.000
0.189,0.600,0.824,0.157,0.439,0.554,0.534,0.164,0.091,0.000
0.191,0.479,0.927,0.076,0.123,0.209,0.136,0.208,0.388,0.000
0.140,0.708,0.642,0.130,0.140,0.205,0.273,0.333,0.139,0.000
0.091,0.398,0.502,0.135,0.053,0.337,0.407,0.339,0.204,0.000
0.004,0.537,0.782,0.141,0.737,0.474,0.560,0.148,0.088,0.000
0.066,0.752,0.790,0.168,0.263,0.315,0.412,0.689,0.163,0.000
0.161,0.085,0.748,0.297,0.193,0.342,0.557,0.333,0.108,0.000
0.344,0.481,0.812,0.162,0.684,0.513,0.574,0.355,0.043,0.000
0.126,0.377,0.577,0.119,0.474,0.483,0.555,0.208,0.032,0.000
0.079,0.247,0.843,0.092,0.140,0.040,0.235,0.689,0.411,0.000
0.004,0.571,0.917,0.086,0.035,0.007,0.383,0.404,0.318,0.000
0.086,0.679,0.940,0.259,0.614,0.618,0.584,0.475,0.020,0.000
0.079,0.642,0.786,0.141,0.088,0.096,0.065,0.372,0.357,0.000
0.237,0.421,0.302,0.827,0.456,0.854,0.379,0.033,0.415,0.000
0.052,0.578,0.779,0.114,0.018,0.168,0.203,0.317,0.410,0.000
0.122,0.399,0.697,0.141,0.211,0.266,0.221,0.339,0.521,0.000
0.010,0.515,0.590,0.097,0.053,0.081,0.245,0.322,0.303,0.000
0.004,0.462,0.518,0.141,0.070,0.268,0.010,0.158,0.439,0.000
0.085,0.421,0.375,0.232,0.561,0.375,0.580,0.049,0.194,0.000
0.065,0.451,0.961,0.243,0.211,0.495,0.407,0.311,0.023,0.000
0.085,0.778,0.890,0.168,0.596,0.480,0.528,0.169,0.100,0.000
0.071,0.354,0.704,0.032,0.000,0.179,0.157,0.842,0.577,0.000
0.137,0.562,0.567,0.114,0.088,0.044,0.019,0.432,0.357,0.000
0.081,0.416,0.249,0.076,0.351,0.489,0.374,0.049,0.483,0.000
0.052,0.491,0.807,0.119,0.105,0.305,0.528,0.350,0.025,0.000
0.059,0.301,0.689,0.178,0.070,0.279,0.175,0.131,0.474,0.000
0.086,0.102,0.700,0.119,0.211,0.148,0.122,0.186,0.498,0.000
0.006,0.434,0.758,0.141,0.439,0.411,0.529,0.180,0.053,0.000
0.064,0.396,0.898,0.130,0.789,0.407,0.335,0.317,0.058,0.000
0.298,0.552,0.170,0.124,0.228,0.490,0.528,0.033,0.199,0.000
0.053,0.428,0.125,0.205,0.105,0.575,0.624,0.000,0.035,0.000
0.128,0.528,0.664,0.059,0.211,0.450,0.078,0.284,0.451,0.000
0.045,0.340,0.512,0.162,0.228,0.464,0.677,0.104,0.068,0.000
0.374,0.608,0.743,0.097,0.000,0.168,0.092,0.426,0.708,0.000
0.343,0.487,0.287,0.173,0.035,0.494,0.792,0.033,0.005,0.000
0.119,0.647,0.720,0.151,0.667,0.527,0.523,0.186,0.032,0.000
0.497,0.978,0.508,0.054,0.281,0.099,0.175,0.317,0.209,0.000
0.234,0.443,0.777,0.114,0.491,0.552,0.584,0.344,0.030,0.000
0.072,0.360,0.646,0.081,0.175,0.040,0.184,0.339,0.171,0.000
0.279,0.592,0.777,0.086,0.105,0.231,0.267,0.454,0.179,0.000
0.198,0.482,0.647,0.108,0.105,0.292,0.517,0.328,0.012,0.000
0.121,0.594,0.701,0.157,0.035,0.403,0.344,0.322,0.171,0.000
0.007,0.886,0.778,0.086,0.018,0.140,0.358,0.503,0.164,0.000
0.059,0.486,0.961,0.168,0.123,0.375,0.483,0.585,0.111,0.000
0.086,0.519,0.754,0.043,0.035,0.331,0.344,0.328,0.136,0.000
0.047,0.632,0.762,0.162,0.246,0.464,0.425,0.322,0.035,0.000
0.078,0.292,0.698,0.119,0.070,0.070,0.010,0.350,0.292,0.000
0.060,0.538,0.529,0.135,0.018,0.337,0.362,0.415,0.371,0.000
0.128,0.741,0.825,0.043,0.053,0.013,0.241,0.443,0.255,0.000
0.063,0.621,0.778,0.119,0.193,0.531,0.324,0.366,0.172,0.000
0.042,0.800,0.718,0.081,0.158,0.279,0.195,0.464,0.380,0.000
0.058,0.577,0.940,0.108,0.035,0.096,0.260,0.350,0.096,0.000
0.059,0.528,0.940,0.135,0.228,0.027,0.397,0.317,0.201,0.000
0.076,0.482,0.799,0.173,0.070,0.104,0.321,0.322,0.257,0.000
0.062,0.283,0.482,0.011,0.018,0.214,0.205,0.306,0.783,0.000
0.800,0.802,0.832,0.070,0.035,0.125,0.161,0.142,0.214,0.000
0.051,0.875,0.844,0.146,0.491,0.278,0.506,0.317,0.088,0.000
0.073,0.470,0.600,0.146,0.333,0.453,0.545,0.093,0.073,0.000
0.006,0.628,0.851,0.092,0.000,0.193,0.366,0.492,0.211,0.000
0.154,0.597,0.841,0.178,0.070,0.156,0.411,0.355,0.123,0.000
0.026,0.528,0.522,0.151,0.105,0.503,0.547,0.109,0.113,0.000
0.214,0.437,0.596,0.146,0.070,0.285,0.260,0.350,0.257,0.000
0.071,0.538,0.214,0.092,0.123,0.019,0.662,0.066,0.441,0.000
0.148,0.851,0.740,0.146,0.105,0.340,0.212,0.328,0.020,0.000
0.082,0.656,0.206,0.151,0.088,0.489,0.545,0.022,0.090,0.000
0.089,0.657,0.759,0.103,0.368,0.377,0.415,0.437,0.119,0.000
0.189,0.704,0.763,0.054,0.316,0.467,0.026,0.251,0.010,0.000
0.063,0.458,0.605,0.049,0.140,0.552,0.533,0.093,0.109,0.000
0.081,0.387,0.426,0.038,0.246,0.200,0.064,0.262,0.371,0.000
0.088,0.496,0.655,0.032,0.053,0.169,0.097,0.098,0.323,0.000
0.086,0.602,0.798,0.141,0.316,0.005,0.509,0.372,0.522,0.000
0.064,0.531,0.453,0.281,0.649,0.545,0.230,0.197,0.158,0.000
0.149,0.669,0.654,0.205,0.456,0.475,0.532,0.066,0.093,0.000
0.092,0.613,0.589,0.086,0.070,0.163,0.024,0.169,0.584,0.000
0.080,0.421,0.945,0.027,0.228,0.113,0.173,0.481,0.187,0.000
0.131,0.476,0.709,0.357,0.246,0.441,0.157,0.131,0.035,0.000
0.097,0.128,0.787,0.086,0.018,0.244,0.186,0.388,0.489,0.000
0.029,0.437,0.667,0.162,0.421,0.484,0.559,0.109,0.075,0.000
0.098,0.535,0.693,0.195,0.070,0.475,0.205,0.328,0.216,0.000
0.009,0.631,0.816,0.124,0.246,0.446,0.394,0.317,0.030,0.000
0.071,0.179,0.721,0.211,0.439,0.523,0.511,0.109,0.134,0.000
0.271,0.519,0.771,0.141,0.088,0.471,0.546,0.044,0.100,0.000
0.083,0.578,0.370,0.146,0.140,0.630,0.548,0.016,0.058,0.000
0.041,0.591,0.542,0.081,0.070,0.245,0.417,0.333,0.181,0.000
0.076,0.608,0.995,0.097,0.123,0.110,0.311,0.470,0.289,0.000
0.093,0.425,0.878,0.216,0.140,0.425,0.417,0.475,0.061,0.000
0.078,0.546,0.588,0.124,0.175,0.138,0.337,0.148,0.718,0.000
0.432,0.579,0.709,0.022,0.053,0.111,0.283,0.579,0.567,0.000
0.063,0.367,0.960,0.189,0.281,0.103,0.389,0.317,0.219,0.000
0.188,0.860,0.695,0.173,0.053,0.138,0.362,0.650,0.554,0.000
0.074,0.661,0.650,0.211,0.404,0.366,0.523,0.240,0.071,0.000
0.130,0.118,0.823,0.443,0.263,0.244,0.616,0.153,0.133,0.000
0.077,0.333,0.723,0.205,0.211,0.546,0.547,0.055,0.046,0.000
0.020,0.358,0.344,0.184,0.421,0.235,0.273,0.044,0.028,0.000
0.187,0.615,0.598,0.054,0.070,0.082,0.054,0.350,0.071,0.000
0.148,0.562,0.747,0.016,0.140,0.410,0.075,0.169,0.600,0.000
0.122,0.879,0.614,0.016,0.088,0.364,0.260,0.153,0.347,0.000
0.045,0.387,0.591,0.114,0.105,0.091,0.300,0.503,0.449,0.000
0.284,0.386,0.601,0.092,0.193,0.190,0.119,0.344,0.453,0.000
0.044,0.682,0.552,0.097,0.123,0.118,0.078,0.454,0.438,0.000
0.530,0.744,0.980,0.195,0.193,0.354,0.171,0.339,0.032,0.000
0.004,0.765,0.790,0.108,0.105,0.335,0.312,0.464,0.201,0.000
0.066,0.569,0.643,0.065,0.000,0.074,0.163,0.541,0.677,0.000
0.022,0.645,0.921,0.238,0.018,0.390,0.176,0.339,0.176,0.000
0.009,0.839,0.418,0.211,0.895,0.468,0.399,0.016,0.114,0.000
0.002,0.745,0.849,0.059,0.228,0.165,0.261,0.470,0.229,0.000
0.148,0.604,0.641,0.189,0.228,0.536,0.520,0.197,0.038,0.000
0.039,0.642,0.601,0.027,0.123,0.139,0.171,0.230,0.285,0.000
0.208,0.482,0.618,0.205,0.175,0.355,0.398,0.311,0.128,0.000
0.121,0.406,0.010,0.038,0.175,0.090,0.658,0.137,0.415,0.000
0.045,0.723,0.661,0.011,0.263,0.008,0.065,0.393,0.320,0.000
0.089,0.626,0.729,0.157,0.158,0.436,0.367,0.328,0.158,0.000
0.157,0.969,0.899,0.173,0.333,0.492,0.532,0.169,0.058,0.000
0.008,0.346,0.932,0.265,0.123,0.410,0.471,0.333,0.095,0.000
0.051,0.443,0.490,0.027,0.140,0.041,0.393,0.475,0.347,0.000
0.001,0.451,0.681,0.238,0.807,0.496,0.533,0.115,0.085,0.000
0.198,0.332,0.886,0.092,0.088,0.135,0.231,0.415,0.219,0.000
0.071,0.406,0.874,0.119,0.140,0.074,0.281,0.508,0.121,0.000
0.007,0.461,0.193,0.124,0.088,0.452,0.625,0.049,0.060,0.000
0.056,0.573,0.889,0.135,0.386,0.473,0.438,0.328,0.108,0.000
0.136,0.581,0.704,0.092,0.105,0.196,0.371,0.585,0.327,0.000
0.029,0.274,0.685,0.243,0.351,0.399,0.290,0.415,0.020,0.000
0.074,0.638,0.546,0.114,0.140,0.278,0.426,0.202,0.159,0.000
0.021,0.416,0.694,0.011,0.175,0.075,0.096,0.492,0.733,0.000
0.051,0.441,0.104,0.086,0.246,0.165,0.718,0.126,0.456,0.000
0.072,0.537,0.670,0.222,0.053,0.288,0.270,0.415,0.297,0.000
0.008,0.718,0.423,0.016,0.281,0.301,0.652,0.208,0.498,0.000
0.002,0.490,0.673,0.205,0.035,0.039,0.341,0.470,0.357,0.000
0.075,0.484,0.666,0.162,0.211,0.442,0.518,0.077,0.088,0.000
0.029,0.566,0.274,0.151,0.070,0.462,0.886,0.011,0.143,0.000
0.013,0.547,0.513,0.259,0.298,0.126,0.171,0.262,0.113,0.000
0.075,0.660,0.922,0.189,0.526,0.509,0.541,0.120,0.086,0.000
0.075,0.582,0.076,0.097,0.158,0.435,0.574,0.011,0.211,0.000
0.056,0.504,0.870,0.297,0.211,0.387,0.582,0.197,0.040,0.000
0.202,0.558,0.599,0.124,0.140,0.109,0.214,0.104,0.192,0.000
0.164,0.403,0.960,0.157,0.035,0.406,0.482,0.607,0.128,0.000
0.002,0.643,0.783,0.135,0.246,0.408,0.346,0.377,0.310,0.000
0.198,0.383,0.916,0.151,0.193,0.166,0.253,0.361,0.259,0.000
0.196,0.650,0.887,0.103,0.123,0.366,0.307,0.339,0.221,0.000
0.199,0.456,0.844,0.254,0.368,0.506,0.360,0.322,0.129,0.000
0.064,0.509,0.447,0.130,0.211,0.586,0.577,0.022,0.053,0.000
0.327,0.424,0.122,0.416,0.070,0.847,0.022,0.016,0.020,0.000
0.085,0.623,0.147,0.108,0.070,0.489,0.258,0.082,0.227,0.000
0.058,0.454,0.816,0.124,0.070,0.281,0.014,0.137,0.514,0.000
0.093,0.660,0.067,0.168,0.018,0.608,0.571,0.027,0.053,0.000
0.079,0.501,0.558,0.065,0.035,0.221,0.148,0.148,0.353,0.000
0.001,0.481,0.430,0.119,0.070,0.616,0.668,0.016,0.041,0.000
0.059,0.739,0.169,0.097,0.158,0.369,0.537,0.016,0.274,0.000
0.067,0.728,0.800,0.184,0.526,0.512,0.531,0.060,0.081,0.000
0.024,0.625,0.709,0.162,0.246,0.564,0.551,0.071,0.109,0.000
0.448,0.409,0.562,0.114,0.228,0.001,0.096,0.388,0.539,0.000
0.071,0.766,0.956,0.173,0.035,0.392,0.048,0.339,0.405,0.000
0.059,0.575,0.868,0.243,0.333,0.287,0.131,0.601,0.151,0.000
0.001,0.614,0.439,0.124,0.386,0.484,0.564,0.016,0.139,0.000
0.073,0.253,0.833,0.086,0.018,0.119,0.194,0.383,0.284,0.000
